product_id,view_freq,bought_freq
1748,21,1
1749,15,0
1750,63,2
1751,9,1
1415,16,0
1752,6,0
1753,29,0
1754,3,0
1758,2,0
1759,5,0
1760,15,0
1761,21,1
1762,5,0
1763,9,0
1764,2,0
1765,6,0
1766,6,0
1767,11,0
1768,8,0
1769,14,0
1773,17,0
1774,21,1
1775,20,0
1776,10,1
1777,1,0
1778,23,0
1779,14,0
1786,3,0
1787,3,0
1789,22,1
1790,13,0
1791,9,0
1792,1,0
1795,54,0
1796,9,0
1802,6,0
1803,4,0
1804,5,0
1807,43,0
1808,23,0
1809,21,0
1806,16,0
1810,12,1
1811,1,0
1812,2,0
1818,103,0
1819,24,0
1820,12,0
1821,59,0
1822,25,0
